time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.2989127854726588e-07,-1.8995257648952094e-08,10.005048215673693,6.282815813915498,0.0002103085477758171,0.0,-2.033706049976844e-05,-1.6485256294607264e-05,0.16826325091155084,-0.0228113973410631,0.009727341506799917,0.0,457.7594431449314,458.5326553036532,458.8550031627921,457.04091532964816
0.12000000000000001,-8.814531661115629e-06,-1.3821120083316844e-05,10.018031175514214,6.281427293131625,0.0014259204527631297,0.0,-0.0003627849811417047,-0.0005834278974326328,0.26448385051280743,-0.02381150265026117,0.03570220406351925,0.0,435.128150639468,437.2968569662282,435.30904662579076,435.22530472578467
0.18,-7.490404112302378e-05,-9.733807988081994e-05,10.040367563403201,6.280236558911259,0.0038525819962655916,0.0,-0.0021138283181532267,-0.002355165070676986,0.47999529641676797,-0.012905488160197822,0.04855073422716168,0.0,471.2279956704426,472.22072931286914,472.32070995330264,473.16096823351114
0.23999999999999996,-0.0003043212652927603,-0.00030956573255783095,10.07481900807621,6.2802090874411824,0.006957898479532432,0.0,-0.00588008126646393,-0.004756376457127611,0.6682928020162906,0.016990334604871385,0.05749545137901631,0.0,464.50392054888084,465.2063205083555,462.6567154350318,465.00423671895163
0.3,-0.0008234128768495858,-0.0006548418896637713,10.119095272834155,6.281916657741485,0.010747945842086715,0.0,-0.011814609907655777,-0.006598585659800248,0.8074913817066549,0.04490270845891678,0.0726044401059571,0.0,449.30115524010466,450.52705545959725,448.2585763313173,450.52098319299364
0.36000000000000004,-0.0017930017533114913,-0.0010681899790321095,10.172403642411368,0.0011712733911757311,0.015521488708517772,0.0,-0.021014058079750646,-0.006892314092399417,0.9693244929862412,0.030453411589445648,0.09072472425215623,0.0,457.12308755205345,458.5693363279302,456.3207362832695,455.1667819578318
0.4200000000000001,-0.0033345501363082337,-0.001456176286849015,10.229882549045337,0.002799825871209194,0.021032190852769084,0.0,-0.030830512435329183,-0.00589484555376978,0.9466499147217979,0.019527039475173077,0.09399494012782884,0.0,396.6298634043922,396.9382565323817,397.87618626880163,396.8749672634872
0.48000000000000015,-0.00559733550525637,-0.001753517207425951,10.28772574539736,0.003842764535621157,0.02667274914231399,0.0,-0.04511589516445111,-0.003914032704047913,0.9814146051298865,0.012705358172086635,0.09403799732009004,0.0,416.6285261014951,416.640427743702,417.0018391275145,416.4055330721774
0.5400000000000001,-0.008887073257368148,-0.0019047036353086752,10.34997470921601,0.004409125360943733,0.032214947151572915,0.0,-0.06511991516842912,-0.0010560329347832397,1.0934325426233602,0.0019417956603985658,0.08880856422434555,0.0,441.5450795827209,441.1207532484504,442.65730131972634,441.7706629522404
0.6000000000000002,-0.013453688585964192,-0.0018791610150010025,10.417777445379599,0.005241768566688343,0.03727044804900803,0.0,-0.08760931658385755,0.0019603739312077356,1.1665679928533632,0.030805639680591343,0.07311144169345889,0.0,430.52415576535253,429.20010551585057,428.18511740013054,430.6333134869283
0.6600000000000003,-0.019432052231858288,-0.0016557594801691034,10.48905744782518,0.006709639087974395,0.041472618907483216,0.0,-0.11207054353045368,0.005645469476315786,1.2093697731732052,0.007101814108486917,0.06304475191270018,0.0,421.4065499353677,420.5395823208105,419.87799484784244,417.81683678853165
0.7200000000000003,-0.02715763921304034,-0.0011560519204331572,10.567668501771239,0.007181399021878754,0.045797115555814116,0.0,-0.14591922110292205,0.011062328960981287,1.410748870816543,0.009342566306388578,0.08580885671876544,0.0,468.5679128998127,470.3376488655377,469.73270594892995,469.906301485878
0.7800000000000004,-0.037061172892308106,-0.00031357030242585,10.659196922424458,0.007396913585166587,0.05081271950550992,0.0,-0.1848010071901049,0.017069363718695333,1.6398653128665857,-0.011546582922265337,0.07875033838183078,0.0,479.10255462689713,478.5707806149571,478.5979360203851,477.0055070937583
0.8400000000000004,-0.049250969920868276,0.0008654264513061664,10.761217165406938,0.006257690720845588,0.05512545161812632,0.0,-0.22199799729409603,0.022140470346142145,1.7606025784272967,-0.041187631594381,0.05232701199721835,0.0,447.79622884194134,445.6455273247069,447.2677643688238,444.84727885674005
0.9000000000000005,-0.06391663491939521,0.0023337041620552935,10.87331710266297,0.003703979437784888,0.05792177357351047,0.0,-0.267196839816111,0.026501091429510973,1.9756915831996607,-0.045461728090186365,0.031578996727743086,0.0,475.9920091047194,474.40275255944726,475.654426262468,475.3261510166884
0.9600000000000005,-0.08135950329829197,0.004001479516454632,10.998367934522124,0.0004548324560360584,0.05995684068313967,0.0,-0.3144456641002334,0.028748312663397762,2.1922605530235466,-0.08372164999511707,0.038226243087229654,0.0,476.4570448936364,476.9653279580695,477.8306245045707,474.90293300176535
1.0200000000000005,-0.1014751710540226,0.005717426101430898,11.132874657597542,6.279280381855063,0.06172664821874552,0.0,-0.3562864272049049,0.02797845147467367,2.2910838669205207,-0.05665842916134427,-0.00037723699022678553,0.0,443.37098940709575,440.188320579693,440.38396594309273,442.61231582244335
1.0800000000000005,-0.12398690569408861,0.00731291141053956,11.271004567286452,6.275688800794761,0.0619076716535254,0.0,-0.3941127911288734,0.02488913433101359,2.3131949165667822,-0.06718191793471748,0.009063342433915931,0.0,416.6688115262539,417.4932573717947,417.7270671370264,416.8055756085868
1.1400000000000006,-0.14897306753606995,0.008628774395325303,11.413668417877725,6.2717208494694106,0.062213012925586675,0.0,-0.4387927422980949,0.018550345346571427,2.4419867778784647,-0.06411322021834388,-0.004362119865612323,0.0,452.31686537718076,451.2343347264259,451.2273415982646,451.4718177147407
